PAC	Best_druggability_status
O00308	3D_ligandable
O00311	Investigational
O00329	Approved
O00330	3D_ligandable
O00338	3D_ligandable
O00391	3D_ligandable
O00399	3D_ligandable
O00408	Approved
O00411	3D_ligandable
O00422	3D_ligandable
O00423	3D_ligandable
O00425	3D_ligandable
O00429	3D_ligandable
O00443	3D_ligandable
O00444	Quality_probe
O00451	3D_ligandable
O00470	3D_ligandable
O00481	3D_ligandable
O00482	3D_ligandable
O00483	Approved
O00487	Approved
O00506	3D_ligandable
O00522	3D_ligandable
O00555	Approved
O00560	3D_ligandable
O00571	3D_ligandable
O00591	Approved
O00602	3D_ligandable
O00625	Quality_probe
O00629	3D_ligandable
O00746	3D_ligandable
O00757	3D_ligandable
O00763	3D_ligandable
O00764	3D_ligandable
O00767	3D_ligandable
O14493	3D_ligandable
O14508	3D_ligandable
O14520	3D_ligandable
O14523	3D_ligandable
O14531	3D_ligandable
O14544	3D_ligandable
O14556	3D_ligandable
O14558	3D_ligandable
O14561	3D_ligandable
O14579	3D_ligandable
O14607	3D_ligandable
O14618	3D_ligandable
O14641	3D_ligandable
O14646	3D_ligandable
O14649	Approved
O14656	3D_ligandable
O14672	3D_ligandable
O14678	3D_ligandable
O14684	Quality_probe
O14686	3D_ligandable
O14713	3D_ligandable
O14727	3D_ligandable
O14732	3D_ligandable
O14733	Quality_probe
O14744	Quality_probe
O14745	3D_ligandable
O14746	3D_ligandable
O14757	Investigational
O14764	Approved
O14770	3D_ligandable
O14773	3D_ligandable
O14782	3D_ligandable
O14786	3D_ligandable
O14788	Approved
O14792	3D_ligandable
O14793	3D_ligandable
O14802	3D_ligandable
O14818	Approved
O14832	3D_ligandable
O14842	Quality_probe
O14862	3D_ligandable
O14893	3D_ligandable
O14920	Investigational
O14929	3D_ligandable
O14931	3D_ligandable
O14936	3D_ligandable
O14939	3D_ligandable
O14958	3D_ligandable
O14964	3D_ligandable
O14965	Quality_probe
O14976	Quality_probe
O14977	3D_ligandable
O14980	Approved
O15033	3D_ligandable
O15054	Quality_probe
O15066	3D_ligandable
O15075	3D_ligandable
O15091	3D_ligandable
O15105	3D_ligandable
O15111	Quality_probe
O15117	3D_ligandable
O15118	3D_ligandable
O15119	3D_ligandable
O15143	3D_ligandable
O15144	3D_ligandable
O15145	3D_ligandable
O15151	3D_ligandable
O15160	3D_ligandable
O15164	3D_ligandable
O15178	3D_ligandable
O15197	Approved
O15205	3D_ligandable
O15217	3D_ligandable
O15229	3D_ligandable
O15230	3D_ligandable
O15264	3D_ligandable
O15269	3D_ligandable
O15270	3D_ligandable
O15294	3D_ligandable
O15296	3D_ligandable
O15350	3D_ligandable
O15357	3D_ligandable
O15371	3D_ligandable
O15372	3D_ligandable
O15379	Approved
O15382	3D_ligandable
O15392	3D_ligandable
O15394	3D_ligandable
O15399	Approved
O15484	3D_ligandable
O15488	3D_ligandable
O15496	3D_ligandable
O15498	3D_ligandable
O15511	3D_ligandable
O15519	3D_ligandable
O15527	3D_ligandable
O15530	Investigational
O15533	3D_ligandable
O15540	3D_ligandable
O15541	3D_ligandable
O15550	3D_ligandable
O15552	Quality_probe
O15554	Approved
O43143	3D_ligandable
O43148	3D_ligandable
O43157	3D_ligandable
O43172	3D_ligandable
O43173	3D_ligandable
O43174	Quality_probe
O43175	3D_ligandable
O43189	3D_ligandable
O43237	3D_ligandable
O43240	3D_ligandable
O43242	3D_ligandable
O43252	3D_ligandable
O43278	3D_ligandable
O43293	3D_ligandable
O43314	3D_ligandable
O43318	Quality_probe
O43323	3D_ligandable
O43324	3D_ligandable
O43353	Quality_probe
O43395	3D_ligandable
O43402	3D_ligandable
O43424	3D_ligandable
O43435	3D_ligandable
O43447	3D_ligandable
O43451	Approved
O43464	3D_ligandable
O43488	3D_ligandable
O43497	Approved
O43504	3D_ligandable
O43516	3D_ligandable
O43525	Approved
O43526	Approved
O43570	Approved
O43583	3D_ligandable
O43598	3D_ligandable
O43613	Approved
O43614	Approved
O43617	3D_ligandable
O43639	3D_ligandable
O43660	3D_ligandable
O43663	3D_ligandable
O43674	Approved
O43681	3D_ligandable
O43683	Quality_probe
O43704	3D_ligandable
O43708	3D_ligandable
O43709	3D_ligandable
O43715	3D_ligandable
O43719	3D_ligandable
O43739	3D_ligandable
O43741	3D_ligandable
O43745	3D_ligandable
O43747	3D_ligandable
O43776	3D_ligandable
O43781	3D_ligandable
O43809	3D_ligandable
O43813	3D_ligandable
O43818	3D_ligandable
O43819	3D_ligandable
O43837	3D_ligandable
O43865	3D_ligandable
O43913	3D_ligandable
O43924	Approved
O43929	3D_ligandable
O60216	3D_ligandable
O60218	3D_ligandable
O60231	3D_ligandable
O60242	3D_ligandable
O60244	3D_ligandable
O60256	3D_ligandable
O60260	3D_ligandable
O60285	Quality_probe
O60306	3D_ligandable
O60308	3D_ligandable
O60313	3D_ligandable
O60341	Quality_probe
O60359	Approved
O60391	Approved
O60437	3D_ligandable
O60449	3D_ligandable
O60462	3D_ligandable
O60479	3D_ligandable
O60486	3D_ligandable
O60493	3D_ligandable
O60494	3D_ligandable
O60496	3D_ligandable
O60502	3D_ligandable
O60507	3D_ligandable
O60508	3D_ligandable
O60547	3D_ligandable
O60551	Quality_probe
O60563	3D_ligandable
O60566	3D_ligandable
O60568	3D_ligandable
O60573	3D_ligandable
O60603	3D_ligandable
O60658	Approved
O60669	3D_ligandable
O60671	3D_ligandable
O60673	3D_ligandable
O60674	Approved
O60678	Quality_probe
O60701	3D_ligandable
O60704	3D_ligandable
O60706	Approved
O60741	3D_ligandable
O60760	3D_ligandable
O60825	3D_ligandable
O60832	3D_ligandable
O60840	Approved
O60861	3D_ligandable
O60870	3D_ligandable
O60880	3D_ligandable
O60885	Quality_probe
O60888	3D_ligandable
O60894	Approved
O60895	Approved
O60896	Approved
O60942	3D_ligandable
O75116	Approved
O75140	3D_ligandable
O75143	3D_ligandable
O75147	3D_ligandable
O75151	3D_ligandable
O75164	3D_ligandable
O75173	3D_ligandable
O75191	3D_ligandable
O75208	3D_ligandable
O75223	3D_ligandable
O75306	Approved
O75324	3D_ligandable
O75326	3D_ligandable
O75340	3D_ligandable
O75343	Approved
O75351	3D_ligandable
O75365	3D_ligandable
O75367	3D_ligandable
O75369	3D_ligandable
O75376	Quality_probe
O75381	3D_ligandable
O75385	Quality_probe
O75390	3D_ligandable
O75417	3D_ligandable
O75419	3D_ligandable
O75436	3D_ligandable
O75448	3D_ligandable
O75449	3D_ligandable
O75460	Quality_probe
O75469	3D_ligandable
O75473	3D_ligandable
O75475	3D_ligandable
O75521	3D_ligandable
O75525	3D_ligandable
O75530	Quality_probe
O75531	3D_ligandable
O75533	3D_ligandable
O75553	3D_ligandable
O75581	3D_ligandable
O75582	3D_ligandable
O75592	3D_ligandable
O75608	3D_ligandable
O75643	3D_ligandable
O75663	3D_ligandable
O75688	3D_ligandable
O75689	3D_ligandable
O75694	3D_ligandable
O75695	3D_ligandable
O75716	3D_ligandable
O75717	3D_ligandable
O75746	3D_ligandable
O75762	Approved
O75787	3D_ligandable
O75792	3D_ligandable
O75815	3D_ligandable
O75817	3D_ligandable
O75818	3D_ligandable
O75822	3D_ligandable
O75828	3D_ligandable
O75844	3D_ligandable
O75865	3D_ligandable
O75874	Approved
O75880	3D_ligandable
O75888	3D_ligandable
O75891	3D_ligandable
O75897	3D_ligandable
O75899	Approved
O75907	Quality_probe
O75909	3D_ligandable
O75914	Quality_probe
O75923	3D_ligandable
O75928	3D_ligandable
O75970	3D_ligandable
O75995	3D_ligandable
O76039	3D_ligandable
O76054	3D_ligandable
O76064	3D_ligandable
O76071	3D_ligandable
O76074	Approved
O76083	Approved
O76094	3D_ligandable
O94759	3D_ligandable
O94760	3D_ligandable
O94761	3D_ligandable
O94762	3D_ligandable
O94766	3D_ligandable
O94768	3D_ligandable
O94779	3D_ligandable
O94782	Quality_probe
O94788	3D_ligandable
O94804	3D_ligandable
O94806	Approved
O94813	3D_ligandable
O94826	3D_ligandable
O94829	3D_ligandable
O94855	3D_ligandable
O94856	3D_ligandable
O94888	3D_ligandable
O94906	3D_ligandable
O94916	3D_ligandable
O94923	3D_ligandable
O94925	3D_ligandable
O94953	3D_ligandable
O94966	3D_ligandable
O95049	3D_ligandable
O95050	3D_ligandable
O95057	3D_ligandable
O95059	3D_ligandable
O95136	Approved
O95139	Approved
O95140	3D_ligandable
O95149	3D_ligandable
O95150	3D_ligandable
O95154	3D_ligandable
O95155	3D_ligandable
O95166	3D_ligandable
O95180	Approved
O95197	3D_ligandable
O95198	3D_ligandable
O95243	3D_ligandable
O95251	3D_ligandable
O95255	3D_ligandable
O95256	3D_ligandable
O95259	Approved
O95263	Approved
O95264	Approved
O95267	3D_ligandable
O95271	Quality_probe
O95278	3D_ligandable
O95292	3D_ligandable
O95299	Approved
O95340	3D_ligandable
O95342	3D_ligandable
O95347	3D_ligandable
O95363	3D_ligandable
O95372	3D_ligandable
O95398	3D_ligandable
O95402	3D_ligandable
O95405	3D_ligandable
O95445	3D_ligandable
O95453	3D_ligandable
O95477	Approved
O95486	3D_ligandable
O95487	3D_ligandable
O95497	3D_ligandable
O95503	3D_ligandable
O95544	3D_ligandable
O95551	3D_ligandable
O95571	3D_ligandable
O95630	3D_ligandable
O95639	3D_ligandable
O95644	3D_ligandable
O95661	3D_ligandable
O95671	3D_ligandable
O95696	Quality_probe
O95711	3D_ligandable
O95714	3D_ligandable
O95716	3D_ligandable
O95747	3D_ligandable
O95749	3D_ligandable
O95777	3D_ligandable
O95786	3D_ligandable
O95819	3D_ligandable
O95822	3D_ligandable
O95831	3D_ligandable
O95838	Approved
O95843	3D_ligandable
O95848	3D_ligandable
O95861	3D_ligandable
O95863	3D_ligandable
O95866	3D_ligandable
O95931	Quality_probe
O95967	3D_ligandable
O95970	3D_ligandable
O95971	3D_ligandable
O95977	Approved
O95980	3D_ligandable
O95985	3D_ligandable
O95989	3D_ligandable
O95994	3D_ligandable
O95999	3D_ligandable
O96013	Investigational
O96017	Quality_probe
O96019	3D_ligandable
O96028	3D_ligandable
P00156	3D_ligandable
P00325	Approved
P00326	Approved
P00338	3D_ligandable
P00352	Quality_probe
P00367	3D_ligandable
P00374	Approved
P00387	3D_ligandable
P00390	Approved
P00395	3D_ligandable
P00414	3D_ligandable
P00439	Approved
P00441	3D_ligandable
P00450	3D_ligandable
P00451	3D_ligandable
P00480	3D_ligandable
P00488	3D_ligandable
P00491	3D_ligandable
P00492	3D_ligandable
P00505	3D_ligandable
P00519	Approved
P00533	Approved
P00558	3D_ligandable
P00568	3D_ligandable
P00734	Approved
P00736	3D_ligandable
P00740	Approved
P00742	Approved
P00746	3D_ligandable
P00747	Approved
P00748	Approved
P00749	3D_ligandable
P00750	Approved
P00751	Quality_probe
P00797	Approved
P00813	Approved
P00915	Approved
P00918	Approved
P00966	3D_ligandable
P00973	3D_ligandable
P01008	Approved
P01009	3D_ligandable
P01011	3D_ligandable
P01019	3D_ligandable
P01023	3D_ligandable
P01024	3D_ligandable
P01031	Approved
P01033	3D_ligandable
P01034	3D_ligandable
P01040	3D_ligandable
P01106	3D_ligandable
P01111	3D_ligandable
P01112	3D_ligandable
P01116	Investigational
P01130	3D_ligandable
P01135	3D_ligandable
P01137	Approved
P01236	3D_ligandable
P01241	3D_ligandable
P01266	3D_ligandable
P01270	3D_ligandable
P01286	3D_ligandable
P01308	3D_ligandable
P01374	Approved
P01375	Approved
P01563	3D_ligandable
P01574	3D_ligandable
P01579	Approved
P01584	Approved
P01588	3D_ligandable
P01589	Approved
P01597	3D_ligandable
P01619	3D_ligandable
P01699	3D_ligandable
P01701	3D_ligandable
P01703	3D_ligandable
P01704	3D_ligandable
P01709	3D_ligandable
P01715	3D_ligandable
P01721	3D_ligandable
P01730	3D_ligandable
P01733	3D_ligandable
P01737	3D_ligandable
P01742	3D_ligandable
P01764	3D_ligandable
P01825	3D_ligandable
P01833	3D_ligandable
P01834	3D_ligandable
P01848	3D_ligandable
P01850	3D_ligandable
P01854	Approved
P01857	3D_ligandable
P01871	3D_ligandable
P01876	3D_ligandable
P01877	3D_ligandable
P01889	3D_ligandable
P01903	3D_ligandable
P02458	3D_ligandable
P02461	3D_ligandable
P02462	3D_ligandable
P02489	3D_ligandable
P02511	3D_ligandable
P02545	3D_ligandable
P02671	Approved
P02675	Approved
P02679	Approved
P02689	3D_ligandable
P02708	Approved
P02730	3D_ligandable
P02741	3D_ligandable
P02743	3D_ligandable
P02746	3D_ligandable
P02747	3D_ligandable
P02748	3D_ligandable
P02749	3D_ligandable
P02751	3D_ligandable
P02753	3D_ligandable
P02760	3D_ligandable
P02763	3D_ligandable
P02766	Approved
P02768	3D_ligandable
P02774	3D_ligandable
P02786	3D_ligandable
P02787	3D_ligandable
P02788	3D_ligandable
P02794	3D_ligandable
P03372	Approved
P03886	Approved
P03891	Approved
P03897	Approved
P03901	Approved
P03905	Approved
P03915	Approved
P03923	Approved
P03950	3D_ligandable
P03951	Approved
P03952	Approved
P03956	Approved
P04003	3D_ligandable
P04004	3D_ligandable
P04035	Approved
P04040	3D_ligandable
P04049	Approved
P04062	3D_ligandable
P04070	3D_ligandable
P04075	3D_ligandable
P04141	3D_ligandable
P04150	Approved
P04156	3D_ligandable
P04180	3D_ligandable
P04181	3D_ligandable
P04183	Quality_probe
P04234	Approved
P04271	3D_ligandable
P04275	Approved
P04278	Quality_probe
P04350	Approved
P04406	3D_ligandable
P04424	3D_ligandable
P04432	3D_ligandable
P04433	3D_ligandable
P04435	3D_ligandable
P04439	3D_ligandable
P04626	Approved
P04629	Approved
P04632	3D_ligandable
P04637	3D_ligandable
P04746	Approved
P04792	3D_ligandable
P04798	Quality_probe
P04818	Approved
P04843	3D_ligandable
P05000	3D_ligandable
P05023	Approved
P05026	Approved
P05062	3D_ligandable
P05067	3D_ligandable
P05089	3D_ligandable
P05090	3D_ligandable
P05091	Approved
P05093	Approved
P05106	Approved
P05107	Approved
P05108	Approved
P05112	Approved
P05113	Approved
P05120	3D_ligandable
P05121	3D_ligandable
P05129	Approved
P05154	3D_ligandable
P05156	3D_ligandable
P05161	3D_ligandable
P05162	3D_ligandable
P05164	3D_ligandable
P05177	Quality_probe
P05181	3D_ligandable
P05198	3D_ligandable
P05230	Quality_probe
P05231	Approved
P05412	3D_ligandable
P05413	3D_ligandable
P05423	3D_ligandable
P05452	3D_ligandable
P05455	3D_ligandable
P05543	3D_ligandable
P05556	3D_ligandable
P05771	Approved
P05937	3D_ligandable
P05981	3D_ligandable
P06126	3D_ligandable
P06127	3D_ligandable
P06132	3D_ligandable
P06213	Approved
P06239	Approved
P06241	Approved
P06276	Approved
P06280	Approved
P06312	3D_ligandable
P06340	3D_ligandable
P06396	3D_ligandable
P06400	3D_ligandable
P06401	Approved
P06493	Investigational
P06681	3D_ligandable
P06702	3D_ligandable
P06729	Approved
P06730	3D_ligandable
P06732	3D_ligandable
P06734	3D_ligandable
P06737	Quality_probe
P06744	3D_ligandable
P06746	3D_ligandable
P06756	Quality_probe
P06858	3D_ligandable
P06865	3D_ligandable
P06870	Approved
P06881	Approved
P06899	3D_ligandable
P07093	3D_ligandable
P07098	Approved
P07099	Approved
P07101	Approved
P07148	Quality_probe
P07195	3D_ligandable
P07202	Approved
P07225	3D_ligandable
P07237	Approved
P07288	3D_ligandable
P07311	3D_ligandable
P07316	3D_ligandable
P07320	3D_ligandable
P07327	Approved
P07332	3D_ligandable
P07333	Approved
P07339	Quality_probe
P07355	3D_ligandable
P07357	3D_ligandable
P07358	3D_ligandable
P07359	3D_ligandable
P07360	3D_ligandable
P07384	3D_ligandable
P07437	Approved
P07451	3D_ligandable
P07477	3D_ligandable
P07510	Approved
P07550	Approved
P07686	3D_ligandable
P07711	Quality_probe
P07738	3D_ligandable
P07741	3D_ligandable
P07766	Approved
P07814	3D_ligandable
P07858	3D_ligandable
P07900	Investigational
P07902	3D_ligandable
P07911	3D_ligandable
P07947	Approved
P07948	Approved
P07949	Approved
P07954	3D_ligandable
P07996	3D_ligandable
P08069	Approved
P08100	3D_ligandable
P08118	3D_ligandable
P08133	3D_ligandable
P08134	3D_ligandable
P08138	3D_ligandable
P08172	Approved
P08173	Approved
P08174	3D_ligandable
P08183	Approved
P08185	3D_ligandable
P08195	3D_ligandable
P08235	Approved
P08236	3D_ligandable
P08237	3D_ligandable
P08238	Quality_probe
P08240	3D_ligandable
P08243	3D_ligandable
P08246	3D_ligandable
P08253	3D_ligandable
P08254	3D_ligandable
P08263	3D_ligandable
P08311	3D_ligandable
P08319	Approved
P08397	3D_ligandable
P08473	Approved
P08476	3D_ligandable
P08514	Approved
P08559	3D_ligandable
P08571	3D_ligandable
P08572	3D_ligandable
P08575	3D_ligandable
P08579	3D_ligandable
P08581	Approved
P08582	3D_ligandable
P08588	Approved
P08590	3D_ligandable
P08603	3D_ligandable
P08621	3D_ligandable
P08631	Approved
P08637	3D_ligandable
P08648	3D_ligandable
P08684	Approved
P08686	3D_ligandable
P08700	3D_ligandable
P08708	3D_ligandable
P08709	3D_ligandable
P08754	3D_ligandable
P08758	3D_ligandable
P08842	Quality_probe
P08865	3D_ligandable
P08887	Approved
P08908	Approved
P08912	Approved
P08913	Approved
P08922	Approved
P09012	3D_ligandable
P09038	3D_ligandable
P09104	3D_ligandable
P09110	3D_ligandable
P09132	3D_ligandable
P09172	3D_ligandable
P09210	3D_ligandable
P09211	3D_ligandable
P09234	3D_ligandable
P09237	Approved
P09238	3D_ligandable
P09382	3D_ligandable
P09417	3D_ligandable
P09455	3D_ligandable
P09467	Quality_probe
P09471	3D_ligandable
P09486	3D_ligandable
P09525	3D_ligandable
P09543	3D_ligandable
P09601	3D_ligandable
P09603	3D_ligandable
P09619	Approved
P09622	3D_ligandable
P09651	3D_ligandable
P09661	3D_ligandable
P09693	Approved
P09758	Approved
P09769	Approved
P09871	Approved
P09874	Approved
P09884	Approved
P09913	3D_ligandable
P09914	3D_ligandable
P09917	Approved
P09919	3D_ligandable
P09936	3D_ligandable
P09958	3D_ligandable
P09960	3D_ligandable
P09972	3D_ligandable
P0C024	3D_ligandable
P0C025	3D_ligandable
P0C0L4	3D_ligandable
P0C0L5	3D_ligandable
P0C0S8	3D_ligandable
P0C1S8	3D_ligandable
P0C870	3D_ligandable
P0CG04	3D_ligandable
P0CG29	3D_ligandable
P0CG30	3D_ligandable
P0CG47	3D_ligandable
P0CG48	3D_ligandable
P0CJ85	3D_ligandable
P0CJ86	3D_ligandable
P0CJ87	3D_ligandable
P0CJ88	3D_ligandable
P0CJ89	3D_ligandable
P0CJ90	3D_ligandable
P0DJD7	3D_ligandable
P0DJD8	3D_ligandable
P0DML2	3D_ligandable
P0DML3	3D_ligandable
P0DMM9	3D_ligandable
P0DMN0	3D_ligandable
P0DMS8	Quality_probe
P0DMV8	3D_ligandable
P0DMV9	3D_ligandable
P0DOX5	3D_ligandable
P0DOX8	3D_ligandable
P0DOY2	3D_ligandable
P0DOY3	3D_ligandable
P0DP01	3D_ligandable
P0DP23	3D_ligandable
P0DP24	3D_ligandable
P0DP25	3D_ligandable
P0DPF4	3D_ligandable
P0DPF7	3D_ligandable
P0DSE2	3D_ligandable
P0DTE7	3D_ligandable
P0DTE8	3D_ligandable
P0DUB6	3D_ligandable
P10092	Approved
P10109	3D_ligandable
P10114	3D_ligandable
P10145	3D_ligandable
P10153	3D_ligandable
P10275	Approved
P10276	Approved
P10321	3D_ligandable
P10415	Approved
P10515	3D_ligandable
P10586	3D_ligandable
P10599	3D_ligandable
P10600	Approved
P10606	3D_ligandable
P10619	3D_ligandable
P10632	3D_ligandable
P10635	Quality_probe
P10643	3D_ligandable
P10644	3D_ligandable
P10721	Approved
P10747	3D_ligandable
P10768	3D_ligandable
P10809	3D_ligandable
P10826	Approved
P10827	Approved
P10828	Approved
P10912	Approved
P10916	3D_ligandable
P10997	3D_ligandable
P11021	3D_ligandable
P11086	3D_ligandable
P11142	3D_ligandable
P11166	3D_ligandable
P11169	3D_ligandable
P11171	3D_ligandable
P11172	Approved
P11177	3D_ligandable
P11182	3D_ligandable
P11215	3D_ligandable
P11216	3D_ligandable
P11217	3D_ligandable
P11229	Approved
P11230	Approved
P11233	3D_ligandable
P11234	3D_ligandable
P11245	3D_ligandable
P11274	Approved
P11309	Quality_probe
P11310	3D_ligandable
P11362	Approved
P11387	Approved
P11388	Approved
P11413	3D_ligandable
P11473	Approved
P11474	3D_ligandable
P11498	3D_ligandable
P11509	3D_ligandable
P11511	Approved
P11532	3D_ligandable
P11586	3D_ligandable
P11597	3D_ligandable
P11712	Quality_probe
P11717	3D_ligandable
P11766	Approved
P11802	Approved
P11836	Approved
P11926	Approved
P11940	3D_ligandable
P12004	3D_ligandable
P12081	3D_ligandable
P12104	3D_ligandable
P12235	Approved
P12259	3D_ligandable
P12268	Quality_probe
P12271	3D_ligandable
P12277	3D_ligandable
P12314	3D_ligandable
P12318	3D_ligandable
P12429	3D_ligandable
P12532	3D_ligandable
P12544	3D_ligandable
P12694	3D_ligandable
P12724	3D_ligandable
P12757	3D_ligandable
P12814	3D_ligandable
P12821	Approved
P12830	3D_ligandable
P12883	3D_ligandable
P12931	Approved
P12955	3D_ligandable
P12956	3D_ligandable
P13010	3D_ligandable
P13051	3D_ligandable
P13073	3D_ligandable
P13497	3D_ligandable
P13500	3D_ligandable
P13569	Approved
P13612	Approved
P13631	Approved
P13637	Approved
P13639	Approved
P13667	3D_ligandable
P13671	3D_ligandable
P13716	3D_ligandable
P13726	Quality_probe
P13747	3D_ligandable
P13796	3D_ligandable
P13804	3D_ligandable
P13866	Approved
P13928	3D_ligandable
P13929	3D_ligandable
P13945	Approved
P13984	3D_ligandable
P13987	3D_ligandable
P13995	3D_ligandable
P14060	Approved
P14061	Quality_probe
P14091	3D_ligandable
P14174	Quality_probe
P14207	3D_ligandable
P14210	3D_ligandable
P14324	Approved
P14384	3D_ligandable
P14415	Approved
P14416	Approved
P14550	3D_ligandable
P14555	Approved
P14598	3D_ligandable
P14616	Quality_probe
P14618	3D_ligandable
P14625	3D_ligandable
P14635	3D_ligandable
P14649	3D_ligandable
P14678	3D_ligandable
P14679	Approved
P14735	3D_ligandable
P14778	Approved
P14780	3D_ligandable
P14784	Approved
P14867	Approved
P14868	3D_ligandable
P14902	Quality_probe
P14920	3D_ligandable
P14921	3D_ligandable
P14923	3D_ligandable
P15018	3D_ligandable
P15056	Approved
P15085	3D_ligandable
P15086	3D_ligandable
P15090	3D_ligandable
P15104	3D_ligandable
P15121	Approved
P15144	3D_ligandable
P15151	3D_ligandable
P15153	3D_ligandable
P15170	3D_ligandable
P15260	Approved
P15289	3D_ligandable
P15291	3D_ligandable
P15309	Approved
P15311	3D_ligandable
P15328	Quality_probe
P15374	3D_ligandable
P15382	3D_ligandable
P15391	Approved
P15428	Quality_probe
P15498	3D_ligandable
P15509	Approved
P15529	3D_ligandable
P15531	3D_ligandable
P15538	Approved
P15559	3D_ligandable
P15692	Approved
P15735	3D_ligandable
P15812	3D_ligandable
P15813	3D_ligandable
P15880	3D_ligandable
P15882	3D_ligandable
P15907	3D_ligandable
P15924	3D_ligandable
P15941	3D_ligandable
P16035	3D_ligandable
P16070	3D_ligandable
P16083	Quality_probe
P16109	Approved
P16118	3D_ligandable
P16144	3D_ligandable
P16152	3D_ligandable
P16157	3D_ligandable
P16219	3D_ligandable
P16233	Approved
P16234	Approved
P16278	3D_ligandable
P16389	Approved
P16410	Approved
P16422	Approved
P16435	3D_ligandable
P16442	3D_ligandable
P16444	Approved
P16455	3D_ligandable
P16473	Approved
P16499	Approved
P16615	3D_ligandable
P16671	3D_ligandable
P16871	3D_ligandable
P17028	3D_ligandable
P17066	3D_ligandable
P17174	3D_ligandable
P17181	Approved
P17213	3D_ligandable
P17252	Approved
P17342	3D_ligandable
P17516	3D_ligandable
P17540	3D_ligandable
P17568	Approved
P17612	Quality_probe
P17643	3D_ligandable
P17655	3D_ligandable
P17658	Approved
P17693	3D_ligandable
P17707	3D_ligandable
P17752	Approved
P17787	Approved
P17812	3D_ligandable
P17813	3D_ligandable
P17900	3D_ligandable
P17948	Approved
P17980	3D_ligandable
P17987	3D_ligandable
P18031	3D_ligandable
P18054	Approved
P18074	3D_ligandable
P18084	Quality_probe
P18089	Approved
P18206	3D_ligandable
P18405	Approved
P18433	3D_ligandable
P18440	3D_ligandable
P18505	Approved
P18507	Approved
P18545	Approved
P18564	3D_ligandable
P18669	3D_ligandable
P18754	3D_ligandable
P18825	Approved
P18858	3D_ligandable
P18859	Quality_probe
P18887	3D_ligandable
P19087	3D_ligandable
P19099	Quality_probe
P19113	3D_ligandable
P19174	3D_ligandable
P19235	Approved
P19338	3D_ligandable
P19367	3D_ligandable
P19387	3D_ligandable
P19388	3D_ligandable
P19397	3D_ligandable
P19404	3D_ligandable
P19429	3D_ligandable
P19440	3D_ligandable
P19447	3D_ligandable
P19525	3D_ligandable
P19544	3D_ligandable
P19623	3D_ligandable
P19652	3D_ligandable
P19784	3D_ligandable
P19793	Approved
P19801	Approved
P19827	3D_ligandable
P19835	3D_ligandable
P19883	3D_ligandable
P19971	Approved
P20020	3D_ligandable
P20036	3D_ligandable
P20061	3D_ligandable
P20062	3D_ligandable
P20132	3D_ligandable
P20138	Approved
P20142	3D_ligandable
